title,url,company,location,easy_apply,age,query,search_location,viewed,applied,date_applied,skip,recruiter,,,,,,
Jr. Java/Ruby on Rails Developer,/cmp/OPTOMI-LLC/jobs/Junior-Java-Ruby-Rail-Developer-a9c20f5faf6ffc00?r=1&fccid=4837a4b762e98820,Optomi LLC,"Richardson, TX",TRUE,24,,,TRUE,TRUE,12/7/2016 17:18:00,,,,,,,,
Jr. Web Developer/Front-end Developer,/cmp/T--Mark-International/jobs/Junior-Web-Developer-Front-End-Developer-786c6e9b2396f7dd?r=1&fccid=add002bf83dcc3a9,T-Mark International,"Buffalo, NY",TRUE,25,,,TRUE,TRUE,12/7/2016 17:18:00,,,,,,,,
Frontend Engineer,/rc/clk?jk=494a0e81948aa31f&fccid=c0c0b85cd9b7cb1d,Kapost,"Boulder, CO",TRUE,25,,,TRUE,TRUE,12/7/2016 17:19:00,,,,,,,,
Jr Front-end Web Developer,/cmp/Ascendo-Resources/jobs/Junior-Front-End-Web-Developer-e19e3d16549e4ae6?r=1&fccid=9ad387645d9af8c3,Ascendo Resources,"Hollywood, FL",TRUE,27,,,TRUE,TRUE,12/7/2016 17:20:00,,,,,,,,
Front-End Developer,/cmp/Vantage-Labs-LLC/jobs/Front-End-Developer-ab86299e088118fd?r=1&fccid=423cb5f948005815,Vantage Labs LLC,"New Hope, PA",TRUE,27,,,TRUE,TRUE,12/7/2016 17:20:00,,,,,,,,
Software Engineer – Python Development,/rc/clk?jk=2e620933c62d08cd&fccid=720a61a46c468044,"Analytical Mechanics Associates, Inc.","Hampton, VA 23666 (Northampton area)",TRUE,28,,,TRUE,TRUE,12/7/2016 17:21:00,,,,,,,,
Computer Science/ Bioinformatics Intern,/cmp/Axle-Informatics/jobs/Computer-Science-ef63ae06110afeea?r=1&fccid=7f7a57dec5ec2ef3,Axle Informatics,"Rockville, MD",TRUE,28,,,TRUE,TRUE,12/7/2016 17:24:00,,,,,,,,
"Software Engineers (Java, RoR, Hadoop, Cassandra, Solr, ML)",/rc/clk?jk=2ac4c1d65f2c4912&fccid=e4fba35e1090d474,The Bivium Group,"Cambridge, MA",TRUE,30,,,TRUE,TRUE,12/7/2016 17:25:00,,,,,,,,
Front End Engineer,/cmp/PowerToFly/jobs/Front-End-Engineer-bb2289710612f381?r=1&fccid=4320934e3214d865,PowerToFly for Hillary for America,"Brooklyn, NY",TRUE,30,ruby on rails,new york city,TRUE,TRUE,12/7/2016 17:25:00,,,,,,,,
Front-End software Engineer,/rc/clk?jk=3abf4052dd9c2f9f&fccid=dd764791c773b58d,ProMedia Careers,"San Diego, CA",TRUE,30,,,TRUE,TRUE,12/7/2016 17:26:00,,,,,,,,
