id,title,url,company,location,easy_apply,age,query,search_location,viewed,applied,date_applied,merged_doc_id__jobs_to_cover_letters,merged_doc_url__jobs_to_cover_letters,link_to_merged_doc__jobs_to_cover_letters,document_merge_status__jobs_to_cover_letters,skip,recruiter
p_fcc0cd12791a8335,Senior Data Engineer,/rc/clk?jk=fcc0cd12791a8335&fccid=ef4ef175212ffb1e,Celmatix,"New York, NY 10005 (Financial District area)",TRUE,5 days ago,ruby on rails,new york city,TRUE,FALSE,,,,,,TRUE,
pj_15284385debf23f0,Technical Account Manager,/pagead/clk?mo=r&ad=-6NYlbfkN0D9Z_NigMRFBqnj4_9rPbMnaYMSgnKsRu0gcL5XJCnD3SuZz89nYP-RriKkk7EpqIUCdhILOaKNvYwsINmG2hO683CNgyRSPvR5kIU_7xib6RUWgOtrpbbzNElUwoy-gda4e_LVrWxarHML62goqReRbiYcyrxoeTyJBo3qmPlx3mv-DBwB7Zw1WNvT85yBckT_awBfQQ9ZCJ2R_V9PLqn6Pm1OWSULvCQ5a3-tOC-wcVNYIlG0q8yb45PXAlQP9Pfx1aknnGsjN4teo9K63A2xLJHEAa1C6vPgs7jHQn0UqwxCD-qnVtaNthnDSVaY4F4vCkKhV_-nqLORtgXMasorqvbj4Qn10BluKgpbCCqQP8qjlfSu55pU9qXXafFnQ10voZLFPZFh4Tp1NVYJO6vw6lhxmaYQnokXP8SoyvWlgyyJ2aWy5ifBhc-zV4MuLebzfC_KKiaTcSkcyNQhYh1xo-U1f9w1RyeCe1BpF-zWD85WFt1QUmnQERTb81O1p6rIpt11MELjY5Kp9Yd5-5EEusCgFyV-GdypSkp9P9dGd-AmV9ugm_xDZJ_drGC3bAUGEXEBvCdKozOUV-9PwaSsDlhfBFm3BCPJqTmShRld_Wl0k1bsseU0iZ3zq38TdAcn9VNsbvIZH1ITflmPJhrRzGTn_TimUkKpXMLQQ4wlMix0D2sAsh7pt0DRbEnnWCXWKAlq7sigZxgz1SwZ6La6gKSd8uWLhn3antuU_51OMxn-6hUOUEtR_zYlrEuhuNMKdv0VzHG7-cbL4Bx5-XXXK5GlRSuV4t9LrSDK8oH9NS5_tW8NNgRWL98SEjMuxLn0CtmAkrp2O7F0w41T2d5uCQHvLhnTjdrnZaFrgUYguMTSDlEJB8sQ11Yd7nsbvS73K1djq_83uL5RyE9ojhmx&p=2&sk=&fvj=0,"Amazon Web Services, Inc.","New York, NY",FALSE,19 days ago,ruby on rails,new york city,TRUE,FALSE,,,,,,,
p_efadf7eaa45abd8e,Senior Software Developer,/rc/clk?jk=efadf7eaa45abd8e&fccid=5b0288fa591ac208,DEPARTMENT OF TRANSPORTATION,"Manhattan, NY",FALSE,24 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 12:22,,,,,TRUE,
p_dca8ebe1b5976c3c,McKinsey Digital Labs - Full Stack Dev Ops Architect,/rc/clk?jk=dca8ebe1b5976c3c&fccid=6576e7250aa78c3c,McKinsey & Company,"New York, NY 10022 (Midtown area)",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_1c4e22a8fce5d1a3,Rails / Full Stack Engineer,/rc/clk?jk=1c4e22a8fce5d1a3&fccid=ccd796b1d2d3e16b,Smith & Keller,"Manhattan, NY",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_9319f9b2894c3ab3,iOS Developer,/rc/clk?jk=9319f9b2894c3ab3&fccid=15877e606964e825,"Wink, Inc.","New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_7ca985ee296a159c,Senior Applications Engineer,/rc/clk?jk=7ca985ee296a159c&fccid=3e34ac4ae73849ba,Medidata Solutions,"New York, NY 10003 (Greenwich Village area)",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_ddb4f1f65a59d45d,Sr. Backend Engineer,/rc/clk?jk=ddb4f1f65a59d45d&fccid=a7ffaac5586ee69a,AiCure,"New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_4f42b8f33f1fc5b6,ROR Developer,/rc/clk?jk=4f42b8f33f1fc5b6&fccid=547ae1ca745a6e85,Silver Oak Technology,"Manhattan, NY",FALSE,5 days ago,ruby on rails,new york city,TRUE,FALSE,,,,,,,
p_6e1b559860a23ff9,Front End Engineer,/rc/clk?jk=6e1b559860a23ff9&fccid=ccd796b1d2d3e16b,Smith & Keller,"New York, NY",FALSE,12 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 12:23,,,,,,
p_666f3f6010b12311,Senior Front End Engineer,/rc/clk?jk=666f3f6010b12311&fccid=ac747cfaa2c85912,Movable Ink,"New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_8bc20fb66ca220b1,Senior Software Engineer,/rc/clk?jk=8bc20fb66ca220b1&fccid=34cc52740e2971c2,Casper,"New York, NY",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_f6f3bba7e66cd37e,Front End Developer,/rc/clk?jk=f6f3bba7e66cd37e&fccid=ea0afd5c2a813ac2,Elevate Recruiting Group,"New York, NY",FALSE,27 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 12:27,,,,,,
p_e8bd68c41e68c237,Senior Software Engineer / Architect,/rc/clk?jk=e8bd68c41e68c237&fccid=9158945a2464d2dc,Kitchensurfing,"New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_0cf6ab8390bcae00,Ruby on Rails Developer,/rc/clk?jk=0cf6ab8390bcae00&fccid=adf78dadef76834e,JBCconnect,"New York, NY",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_a63b68b44a20b608,Technical Operations Engineer,/rc/clk?jk=a63b68b44a20b608&fccid=c618ba0d5e55039b,Paperless Post,"New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_adffcedfaa27c5e5,"Senior Digital Producer - Huntington Beach, CA!",/rc/clk?jk=adffcedfaa27c5e5&fccid=c1bbb0b4162470a4,Innocean,"New York, NY",TRUE,5 days ago,ruby on rails,new york city,TRUE,FALSE,,,,,,TRUE,
p_503e7ef4246a4acd,Ruby on Rails Technologist,/rc/clk?jk=503e7ef4246a4acd&fccid=4a2d2fbadf14d480,Jobspring Partners,"New York, NY",FALSE,7 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 14:29,,,,,,
p_159568ab31193946,"Sr. Applications Engineer (RoR, WebDev, jQuery, MySql)",/rc/clk?jk=159568ab31193946&fccid=3e34ac4ae73849ba,Medidata Solutions,"New York, NY 10003 (Greenwich Village area)",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_ce6c0d841e749b9a,Ruby Engineer - Impact and guide the future of e-commerce,/cmp/Clutch-Talent/jobs/Ruby-Engineer-ce6c0d841e749b9a?r=1&fccid=1a587d2d66de4fbf,Clutch Talent,"New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_ea62254696ca4c8e,"Front End Developer, Commerce",/rc/clk?jk=ea62254696ca4c8e&fccid=d5748cd075363a48,Bark & Co.,"New York, NY",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_3d4ead2a3bd2fe1e,Software Development Engineer in Test (Consultant),/rc/clk?jk=3d4ead2a3bd2fe1e&fccid=3e34ac4ae73849ba,Medidata Solutions,"New York, NY 10003 (Greenwich Village area)",FALSE,26 days ago,ruby on rails,new york city,TRUE,FALSE,,,,,,,
pj_fcbd43460ac3d1ca,PHP Developer,/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4egtWG7B_uAPPicajqzbiXy5U0cHZzRuKubtRkU_dBdbpCdlRkzPnZpNrmMI4OPPY3OXFO5kmCgQOxPZtEAYd1a9_JY5XqVg3f75GfL3y_zlNP0GD5hBx694iwceWKm90po1y7IuTOwKBAwmhcqCfevUp8Fnz09NWaVdYaurTsPpuKIvWx46z4dwb1QvJKL7PxlJ0ku24cskRc0GZG9tEbt5UqsMkrlfisYBQ6KydRHj1XmHvx1BxpoN2HjwkwDqEQvZ-dYbveQq1n2Z-1mZC0wDsD-5scvrlrCiV6Xq2sVcCDKyX3Lqh4tDxwoeuqnREJwGJmqNSRhnIqQ1CPlgzjVZ8Wfd9YylRnNKoIjuMIYMPS2G4Fb1wrk2w676lAosobd4OQTFyoPGfBxl8-IqNkJe2DIDUnPZSreHGP0_ORAe5LY0vizeRpFzcheQ8T2RsHifk97YrsfV9Z4IoEv9H0JBGFERe-EsAsn5QLU2R3wu8OevZ0pJ7oh6dFzgkQy9RuIV8kZY8qLKvI_3Dre-xkVeon69eP0esXOlp1CMMSv7Mp9Zg8q7AGoEmzT-1YYbdR3pqjLkzF0Dn3Awgzr2kXKP-7Q-ZeT2B81IitPmKjQWt&p=3&sk=&fvj=0,CyberCoders,"New York, NY",FALSE,12 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 14:30,,,,,,
p_59e89b08fae0f747,UI/ Front End Developer_W2,/cmp/Aptask/jobs/Ui-59e89b08fae0f747?r=1&fccid=a69035222c4b8ef8,Aptask,"Jersey City, NJ",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_0117d8991f67b6df,Product Support Specialist,/rc/clk?jk=0117d8991f67b6df&fccid=11bd358e46914f35,CipherHealth,"New York, NY 10018 (Clinton area)",TRUE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,,
p_d7e68c7d3cbaf29c,Senior Software Engineer,/rc/clk?jk=d7e68c7d3cbaf29c&fccid=7683aaea1049b3a1,Plated,"New York, NY 10011 (Chelsea area)",FALSE,30+ days ago,ruby on rails,new york city,FALSE,,,,,,,TRUE,
p_4ef0d07b4ebc00ce,Front End Developer @ Music Tech Startup,/rc/clk?jk=4ef0d07b4ebc00ce&fccid=4a2d2fbadf14d480,Jobspring Partners,"New York, NY",FALSE,20 days ago,ruby on rails,new york city,TRUE,TRUE,23/06/2016 14:30,,,,,,
